participant_id,case,environment,p_type,mean,median,q5,q25,q75,q95,sd
57301,off,indoor,blue_bc1,403.42273499150934,363,-589,26.5,717.5,1477,688.9434215234885
57301,off,indoor,green_bc1,387.3154476418865,355,-653.9499999999999,1.75,716.25,1519.6499999999996,705.7530382276099
57301,off,indoor,ir_bc1,382.0584175252576,345,-935.6,-81,813,1791,843.2637090860967
57301,off,indoor,red_bc1,385.2564665934285,358,-807.4,-51,757,1668.3999999999996,785.0341316363117
57301,off,indoor,uv_bc1,421.9695274253172,328,-83,134,590,1120,488.1192989532149
57301,off,outdoor,blue_bc1,436.37005649717514,373,-30.44999999999999,225,581.25,1127.8999999999996,416.9844978907592
57301,off,outdoor,green_bc1,409.53568627450983,352,-57,209,547,1069.5999999999985,404.5248049204746
57301,off,outdoor,ir_bc1,368.4552168447517,292,-118,116,515,1142.699999999999,423.1659516509074
57301,off,outdoor,red_bc1,388.6912572594569,345,-119,191,531.5,1063,416.3088327472713
57301,off,outdoor,uv_bc1,489.1530612244898,385,68,237,632,1199,419.58673111506187
57301,off,ratio,blue_bc1,0.7102482243684827,0.6265355508824428,-2.8815999574196294,-0.06363077430625849,1.3333333333333333,4.2595485366063,16.73062115818954
57301,off,ratio,green_bc1,1.0468285952537357,0.6178623718887262,-3.448133116883117,-0.11422360600859587,1.3991254110339788,5.034635258358661,13.76510823909934
57301,off,ratio,ir_bc1,0.6074222689224141,0.5141354382000866,-9.754189655172413,-0.6666666666666666,1.9165076335877862,11.424319697242746,26.137173669877306
57301,off,ratio,red_bc1,0.7832664742406722,0.5823549970828792,-4.949739583333333,-0.31156062247611543,1.5636731117141565,6.040305889079465,23.78413218991977
57301,off,ratio,uv_bc1,0.6565959667983426,0.671264367816092,-0.6685714285714286,0.3278236914600551,0.9468926553672317,2.1181102362204722,5.7098852845893555
57301,on,indoor,blue_bc1,251.00896495517523,202.5,-379,-7,460,1028,462.2492055038095
57301,on,indoor,green_bc1,235.57113738279656,196,-434,-25,453,1026,461.5436543079476
57301,on,indoor,ir_bc1,224.09509733972072,179,-601,-103,507.5,1215.5,556.159584482953
57301,on,indoor,red_bc1,230.784207845135,196,-528.5999999999999,-60,483.5,1123.2999999999993,513.4370023928427
57301,on,indoor,uv_bc1,290.8981047483187,219,-13,116,352,784,407.1762784931455
57301,on,outdoor,uv_bc1,-1177.3907524932004,304,14,171.25,479.75,892,21979477.568909515
57301,on,ratio,uv_bc1,0.5882123821981732,0.48183143533036255,-0.5199175824175825,0.21564446340422938,0.8444408234207811,2.360842490842492,2.746892089388764
57311,off,indoor,blue_bc1,289.288648320518,242,-99,89,446.25,811.8500000000004,309.44060456793966
57311,off,indoor,green_bc1,280.3026622127746,236,-132,77,446,818,320.4844052412425
57311,off,indoor,ir_bc1,294.78664775605307,263,-246,48,508,914,385.04094108295556
57311,off,indoor,red_bc1,282.707507082153,240,-193,55,468,885.8500000000004,358.2954329352608
57311,off,indoor,uv_bc1,310.054606128021,274,43,152,410,712,240.15439606954143
57311,on,indoor,blue_bc1,158.7471079368273,134,-399,-51,344,813,369.0503423028605
57311,on,indoor,green_bc1,150.70078502415458,130.5,-424,-69,348,819,381.2425437235843
57311,on,indoor,ir_bc1,156.54936097413707,144,-583.2,-124,427,954,469.3327938045912
57311,on,indoor,red_bc1,148.77359059391017,128,-521.5,-105,386,900.5,438.9543160144337
57311,on,indoor,uv_bc1,180.6465665019663,125,-58,46,236,667.1999999999989,233.55515474539922
57311,on,outdoor,uv_bc1,8053.322974472814,288,-62,100,441,775,24449970.60261443
57311,on,ratio,uv_bc1,0.47238222025621535,0.3418628921533614,-1.7555328705594118,0.09596648658547752,0.680908536585366,2.157732938136494,4.780276089560685
57331,off,indoor,blue_bc1,371.29011776753714,306,-395.79999999999995,32,603,1284.5999999999985,657.6507664654281
57331,off,indoor,green_bc1,358.18806306306305,292,-438,15,601.25,1311.6499999999996,661.0924392404298
57331,off,indoor,ir_bc1,360.36209900584197,305,-650,-64,674,1493,812.475870250975
57331,off,indoor,red_bc1,361.1502049180328,305,-548.05,-24,635,1416.0499999999993,725.5313966615878
57331,off,indoor,uv_bc1,428.01340976558504,294,-20.599999999999966,152,529,1097.6000000000004,653.0985654587454
57331,off,outdoor,uv_bc1,-158952.14829721363,225.5,-95.54999999999998,99.25,553.25,1981.5499999999997,24075930.89410466
57331,off,ratio,uv_bc1,-0.3938598534761005,0.4697259400892288,-2.2465753424657535,0.11390186915887851,0.9485294117647058,3.046511627906977,26.107513633526015
57331,on,indoor,blue_bc1,226.1411066195048,170,-275.25,2,369,845.75,488.0692976832145
57331,on,indoor,green_bc1,214.5499936796865,159,-295,-15,375,852,457.1694347094452
57331,on,indoor,ir_bc1,215.6627480723044,180,-411,-45,429.5,894,487.06665763268865
57331,on,indoor,red_bc1,211.28730399595347,164,-375.65,-47,406,910,480.4519671452021
