dep_id,case,environment,p_type,mean,median,q5,q25,q75,q95,sd
1,off,indoor,concent,14173.47357776518,6001,2603,3966,11395.5,84667,23559.54533121501
1,off,outdoor,concent,16978.14598955132,13730.5,4516.950000000001,8282,22842.25,38510.09999999999,11443.861795729872
1,off,ratio,concent,1.234369630761082,0.4201297424070757,0.19684603879720064,0.2807215288636313,0.594878666148936,5.7123468447263885,2.738542877951141
1,on,indoor,concent,14948.579506344047,5594,1413,3273,10595,86148.90000000008,26618.82289572699
1,on,outdoor,concent,23314.818902663486,20546,4451,12902,30759,52355,14931.41336673489
1,on,ratio,concent,0.9506536610775816,0.23848205092917243,0.12625761867035665,0.18161778593041225,0.42103884185122814,4.305332248297186,2.4164801899374457
2,off,indoor,concent,6789.914459852863,5118,1985,3695,7747,15409.849999999977,6615.604617372938
2,off,outdoor,concent,11401.794461203555,9428,3043,6106,14594,24274,8027.77984387305
2,off,ratio,concent,0.6367593948500767,0.5652149645384082,0.3612839010252174,0.47673051645808767,0.6638803398870066,1.028333272164003,0.4619156598277023
2,on,indoor,concent,4106.834568052189,3466,737.0600000000001,1838,5698,9393,3026.469302015827
2,on,outdoor,concent,7959.4475727105655,7025,2225,4170,10405,16191.299999999988,5120.955767446242
2,on,ratio,concent,0.5528110486401168,0.4836546913838839,0.19792267730001556,0.2975656627386526,0.6618091657327728,1.1219916215827437,0.40909350049407006
3,off,indoor,concent,7570.4801764624635,3852,497.3,2204,5891,31163.29999999996,14809.271906058631
3,off,outdoor,concent,6092.299973433107,5706,1062,3788,7826,11718.699999999997,3643.853591252607
3,off,ratio,concent,1.3281831295870001,0.624448768596622,0.38173032615324065,0.508593941658864,0.8662953987861615,5.140659266979046,2.60640506640808
3,on,indoor,concent,7771.6957544498055,4923,1343,3305,8466,22141.399999999907,9954.860071631718
3,on,outdoor,concent,11239.583858280384,8637,2789,5893,13638,28410.599999999977,9010.722781840264
3,on,ratio,concent,0.71954124198823,0.5361555488296842,0.3606895172837077,0.4680820321388433,0.6317472686640957,1.038290614271241,1.3392185621980313
4,off,indoor,concent,7052.181037053935,4359,1474,2636,7754,21842,9819.751473610499
4,off,outdoor,concent,10808.809614209855,8799,2810,5264,12933,26201.5,9429.695296556256
4,off,ratio,concent,0.8325017450547657,0.4217185117416982,0.2046991531693028,0.30640333792410634,0.826788841603306,2.4578553368859373,1.2169796940102275
4,on,indoor,concent,16442.330190894183,10018,3745,5743.25,12835,81375.59999999998,24744.919301990518
4,on,outdoor,concent,15450.20738809834,10462,4612,7543,17429,49503.79999999993,14257.459973765479
4,on,ratio,concent,1.307394429364921,0.6663164835240116,0.28622266891746495,0.4398763334280359,1.376105821829759,4.42297546851897,1.8597177890502843
all,off,indoor,concent,7700.44835273821,4746,1461,3058,7696,21979,11964.072594569325
all,off,outdoor,concent,10706.175870019753,8363,2650,5316,13196,26205.099999999977,8756.139946186267
all,off,ratio,concent,0.8750997264541126,0.5495596432951317,0.24630899617641933,0.3967149078951879,0.7057702268000993,2.2669286277705174,1.5783457716038931
all,on,indoor,concent,10891.327918770867,5383,1256,3340,9821,38337,19424.08003126945
all,on,outdoor,concent,15300.879037322666,10871,3125,6681,19469,42631,13127.547918812
all,on,ratio,concent,0.8640253768611866,0.49367933848697965,0.15785457923199525,0.29085419293148845,0.668893670930128,2.7642318270307777,1.779674358561879
