participant_id,case,environment,p_type,mean,median,q5,q25,q75,q95,sd
211002,off,indoor,concent,14232.509646117962,1520,500,797,6350,75800,41347.205856657274
211002,off,outdoor,concent,15214.54963803453,11700,4670,7930,19100,37900,10460.40080591167
211002,off,ratio,concent,1.1602183039247687,0.1402759666654284,0.046249060338632846,0.08502451166701308,0.3215732936093679,4.84796872508339,4.28842093485219
211002,on,indoor,concent,5835.049336233403,1780,287,720,4520,19200,18145.69826863336
211002,on,outdoor,concent,7361.076590761023,5030,2030,3480,7140,18700,18017.500525056606
211002,on,ratio,concent,0.8737764044046852,0.3497215454229029,0.049890362154164064,0.143517905948067,0.9470995279053225,2.248922306862093,2.3876790028008847
272001,off,indoor,concent,25050.4109027855,2860,1230,1930,5460,125000,93389.95286619198
272001,off,outdoor,concent,5178.145379058936,3770,1600,2290,7180,11300,5246.5785844162
272001,off,ratio,concent,7.83074134996009,0.6362733710152346,0.2117399065053937,0.3350064253897096,3.5371120234391396,43.37711266739648,22.49217378645415
272001,on,indoor,concent,11297.079421563365,3620,620,1510,7890,19100,42909.050380594235
290001,off,indoor,concent,14423.43460078718,4440,1880,2790,9080,71200,34027.94303774578
290001,off,outdoor,concent,13550.276643490415,9760,4230,6640,15400,38700,11717.642241472015
290001,off,ratio,concent,1.6392966401646656,0.45412586951504963,0.13951411710464673,0.2637162723628211,0.9536839899172469,6.3696652556667885,4.953029716254113
290001,on,indoor,concent,9124.414081732357,5310,679,2280,9210,19400,28954.00482507959
290001,on,outdoor,concent,22368.21922863997,22200,11400,15600,27900,37100,7974.57118983748
300001,off,indoor,concent,16023.666722684846,3260,637,1600,7950,78800,44809.04670481501
300001,off,outdoor,concent,11883.51647456197,9090,3520,6110,13900,31100,10405.103726809748
300001,off,ratio,concent,1.5370364203969922,0.4119499615933282,0.0667772989086797,0.18539718253507254,0.9394548485086982,7.333120382426877,3.72120492501173
300001,on,indoor,concent,6661.360979884636,2320,694,1420,4010,24200,18616.911492846866
300001,on,outdoor,concent,11509.271739130434,11700,8850,9960,12700,14400,1894.8426935058155
all,off,indoor,concent,18493.05649507123,3000,631,1660,7520,84300,64500.24104186431
all,off,outdoor,concent,12666.333746122924,9490,3040,6280,15100,35100,10715.901788800411
all,off,ratio,concent,2.0055738182862273,0.34233134389936754,0.05971668841241795,0.14767911210410364,0.8779376509944677,7.6196947633480425,8.045586516113204
all,on,indoor,concent,8179.834868319235,2880,420,1380,6850,19800,28939.031222275586
all,on,outdoor,concent,7531.169508993528,5080,2040,3500,7270,20300,17976.68286548402
all,on,ratio,concent,0.8737764044046852,0.3497215454229029,0.049890362154164064,0.143517905948067,0.9470995279053225,2.248922306862093,2.3876790028008847
